traffic_type,protocol,duration,packet_count,avg_packet_size,bytes_per_sec,flag,label
Database,TCP,0.7,97,1334,184854.29,FIN,Normal
Video,ICMP,1.98,193,1084,105662.63,RST,Normal
Web,UDP,0.25,79,127,40132.0,PSH,Normal
File Transfer,UDP,0.61,108,170,30098.36,RST,Normal
Database,ICMP,0.03,6,383,76600.0,SYN,Normal
Video,UDP,2.68,42,425,6660.45,FIN,Normal
File Transfer,UDP,0.3,25,1224,102000.0,PSH,Normal
File Transfer,ICMP,0.54,26,292,14059.26,RST,Normal
Database,ICMP,0.85,53,514,32049.41,PSH,Normal
File Transfer,TCP,1.42,174,739,90553.52,SYN,Normal
Web,TCP,0.68,194,997,284438.24,FIN,Malware
Database,UDP,2.31,55,1307,31119.05,FIN,Malware
Web,TCP,1.35,135,686,68600.0,URG,Normal
File Transfer,ICMP,0.28,171,1337,816525.0,PSH,Anomaly
Web,TCP,4.46,64,53,760.54,RST,Normal
Video,TCP,2.48,13,1409,7385.89,FIN,Malware
Messaging,TCP,0.15,88,131,76853.33,ACK,Malware
Video,ICMP,0.87,176,548,110859.77,RST,Normal
Messaging,ICMP,2.69,39,245,3552.04,FIN,Normal
Messaging,ICMP,0.74,54,1451,105883.78,ACK,Encrypted
Video,ICMP,0.56,138,605,149089.29,PSH,Normal
File Transfer,TCP,1.19,58,742,36164.71,RST,Normal
File Transfer,ICMP,2.77,48,201,3483.03,SYN,Normal
Database,UDP,0.75,18,855,20520.0,RST,Encrypted
Database,TCP,0.59,194,335,110152.54,RST,Normal
File Transfer,ICMP,2.79,86,918,28296.77,URG,Normal
Messaging,UDP,2.65,158,256,15263.4,PSH,Malware
File Transfer,UDP,0.49,128,532,138971.43,SYN,Anomaly
Messaging,UDP,0.23,19,104,8591.3,ACK,Encrypted
Messaging,ICMP,0.02,13,1407,914550.0,ACK,Normal
Video,UDP,0.75,140,1126,210186.67,FIN,Normal
Video,TCP,2.53,85,431,14480.24,ACK,Normal
Video,ICMP,1.96,37,418,7890.82,ACK,Anomaly
Web,UDP,0.12,45,1091,409125.0,SYN,Normal
Web,UDP,2.98,76,819,20887.25,RST,Malware
File Transfer,ICMP,0.6,52,542,46973.33,RST,Normal
File Transfer,ICMP,0.56,41,138,10103.57,FIN,Normal
File Transfer,UDP,1.34,39,1000,29104.48,SYN,Anomaly
Database,ICMP,0.72,179,682,169552.78,URG,Normal
Database,TCP,2.15,146,910,61795.35,URG,Normal
Messaging,TCP,0.06,19,931,294816.67,ACK,Normal
Messaging,ICMP,0.17,67,903,355888.24,RST,Anomaly
Web,ICMP,1.52,56,1060,39052.63,ACK,Anomaly
Messaging,TCP,1.07,155,270,39112.15,RST,Normal
Web,UDP,0.79,175,580,128481.01,FIN,Normal
Web,UDP,0.39,164,1306,549189.74,PSH,Anomaly
Web,UDP,0.26,70,721,194115.38,SYN,Normal
Video,ICMP,2.48,189,1052,80172.58,FIN,Normal
Messaging,UDP,3.08,32,1403,14576.62,ACK,Normal
Video,TCP,3.35,79,1411,33274.33,RST,Normal
Messaging,TCP,0.66,194,1288,378593.94,URG,Normal
Messaging,ICMP,0.48,31,672,43400.0,ACK,Normal
Video,UDP,2.56,7,1422,3888.28,ACK,Anomaly
Video,UDP,0.27,159,688,405155.56,ACK,Malware
Web,ICMP,0.99,55,1297,72055.56,URG,Normal
Web,TCP,0.62,63,1437,146017.74,RST,Normal
Messaging,UDP,0.37,184,1176,584821.62,RST,Normal
Web,TCP,0.1,190,603,1145700.0,URG,Normal
Messaging,TCP,0.43,43,1449,144900.0,PSH,Anomaly
Video,ICMP,1.87,105,991,55644.39,RST,Normal
Web,ICMP,0.06,117,41,79950.0,PSH,Anomaly
Database,UDP,1.05,58,894,49382.86,ACK,Normal
Messaging,ICMP,0.49,133,1466,397914.29,PSH,Normal
File Transfer,ICMP,1.71,57,769,25633.33,URG,Normal
Video,UDP,6.37,164,286,7363.27,RST,Normal
Messaging,UDP,1.67,188,162,18237.13,ACK,Normal
File Transfer,TCP,0.42,42,319,31900.0,PSH,Normal
Video,TCP,0.95,102,237,25446.32,RST,Normal
File Transfer,TCP,0.76,148,648,126189.47,PSH,Encrypted
Messaging,UDP,0.25,191,1389,1061196.0,FIN,Malware
Video,UDP,1.79,7,699,2733.52,FIN,Normal
Video,ICMP,0.59,168,442,125857.63,ACK,Normal
Database,ICMP,1.86,151,1211,98312.37,URG,Malware
Database,UDP,1.55,56,528,19076.13,SYN,Normal
Database,UDP,1.76,132,590,44250.0,RST,Anomaly
Messaging,TCP,4.14,133,512,16448.31,SYN,Normal
Messaging,UDP,0.35,163,1361,633837.14,ACK,Normal
Web,TCP,0.45,148,385,126622.22,RST,Normal
Messaging,ICMP,6.04,64,920,9748.34,RST,Normal
Web,TCP,0.42,52,293,36276.19,SYN,Normal
Web,UDP,3.41,41,1223,14704.69,ACK,Anomaly
Database,UDP,1.5,13,1296,11232.0,URG,Anomaly
File Transfer,UDP,0.64,52,247,20068.75,URG,Normal
Video,UDP,3.41,156,93,4254.55,SYN,Normal
Video,UDP,2.27,156,667,45837.89,RST,Normal
File Transfer,TCP,0.13,168,1485,1919076.92,FIN,Normal
Web,UDP,1.66,116,549,38363.86,ACK,Normal
Database,ICMP,4.22,157,953,35455.21,SYN,Malware
Video,UDP,0.26,86,861,284792.31,ACK,Normal
Video,ICMP,0.89,193,200,43370.79,SYN,Anomaly
Messaging,TCP,0.03,146,1340,6521333.33,SYN,Anomaly
Messaging,TCP,0.3,132,1455,640200.0,RST,Malware
Messaging,TCP,2.84,149,679,35623.59,RST,Normal
File Transfer,ICMP,1.26,191,509,77157.94,URG,Normal
