traffic_type,protocol,flag,packet_length,duration,flow_bytes,label
Messaging,ICMP,ACK,437,0.8501412624351666,87568,Messaging_Normal
FileTransfer,TCP,SYN,366,3.2710714292678964,34694,FileTransfer_Anomaly
Web,TCP,RST,659,5.602844679965206,77057,Web_Anomaly
Messaging,ICMP,RST,958,1.167280129234774,60731,Messaging_Normal
Messaging,TCP,RST,974,3.7731866662481193,45133,Messaging_Threat
FileTransfer,ICMP,SYN,895,0.10063332248072238,63233,FileTransfer_Normal
Web,UDP,ACK,782,8.18860741079342,73265,Web_Normal
Web,TCP,ACK,1222,1.2932026937509817,73961,Web_Anomaly
Messaging,UDP,SYN,1225,2.8405960531731598,52390,Messaging_Anomaly
Video,ICMP,ACK,683,0.19409291019479252,94131,Video_Anomaly
Messaging,UDP,SYN,44,4.328085431086198,31850,Messaging_Anomaly
Messaging,UDP,ACK,1223,8.402813812384775,95255,Messaging_Threat
Messaging,ICMP,FIN,729,3.927590602337514,40561,Messaging_Threat
Messaging,UDP,FIN,1204,1.8031782610040956,73900,Messaging_Threat
FileTransfer,UDP,RST,196,7.539451352164686,78322,FileTransfer_Anomaly
Web,ICMP,FIN,304,7.890181748888735,24326,Web_Anomaly
FileTransfer,UDP,FIN,82,1.7457972183225923,6821,FileTransfer_Anomaly
FileTransfer,ICMP,FIN,1022,7.710832544324488,56254,FileTransfer_Threat
FileTransfer,UDP,SYN,681,9.473505903680817,20709,FileTransfer_Anomaly
Messaging,ICMP,FIN,685,1.6721120934534006,52230,Messaging_Normal
Video,ICMP,FIN,175,7.712133082396034,73009,Video_Normal
Web,UDP,RST,1092,7.0886343259802675,55349,Web_Anomaly
Video,UDP,FIN,986,4.741003145466534,48995,Video_Normal
FileTransfer,UDP,FIN,868,0.5886254009823949,94573,FileTransfer_Normal
FileTransfer,TCP,ACK,1127,0.7561972334009617,5756,FileTransfer_Threat
Video,TCP,RST,1404,8.52562244539449,74620,Video_Anomaly
Video,TCP,RST,708,9.901582243778964,63840,Video_Anomaly
Video,ICMP,RST,167,6.763762049295677,64409,Video_Threat
FileTransfer,UDP,RST,361,4.465123487033111,30084,FileTransfer_Normal
FileTransfer,ICMP,RST,495,6.479260697585056,73922,FileTransfer_Normal
Web,TCP,RST,1106,5.948014633693168,6001,Web_Anomaly
Web,UDP,SYN,1403,3.842286481452162,31652,Web_Normal
FileTransfer,ICMP,FIN,580,0.6656051842943893,91345,FileTransfer_Threat
Video,UDP,RST,346,8.216914344600335,31155,Video_Threat
Video,ICMP,FIN,1184,3.7246169570948586,37785,Video_Anomaly
Web,UDP,FIN,1009,8.189668577137367,74065,Web_Threat
